"""Will update weekly""
 Note : Red items are limited stock and Count in ( )
 All prices are in AC (Ancient Coin) and under name of items.
 
 Feel free to msg me in game (Ashiam) or Discord (Ashiam7) if you have any shots or details about camps.",,,,,,,,,,,,,,,,,
Date,,,Previous Borgen's Camp,,,,,,,,,,,,,,
YYYY,MM,DD,,,,,,,,,,,,,,,
2026,Sep,9,Shimmer Quartz,Leather,Small Spring,Stone Shell,Corn,Large Net,,,,,,,,,
,,,3,5,10,21,25,38,,,,,,,,,
2026,Sep,2,Pickaxe,Lemonade,Explosive,Bone pickaxe,Gold eggplant seeds,Pie Pan,Borgen Bag 01 (1),,,,,,,,
,,,5,8,14,23,50,200,200,,,,,,,,
2026,Aug,26,Orange,Glass Bottle,Jade,Yarn,Small Bolt,Bacon,Goldgill,,,,,,,,
,,,4,5,12,16,46,80,125,,,,,,,,
2026,Aug,19,Twine,Lemon,Milk,Blue Dye,Snowball,Jar of Pickles,Mega Cotton Seeds,Piece 11 (2),,,,,,,
,,,1,4,15,20,25,500,635,7777,,,,,,,
2026,Aug,12,Apple,Oak,Emberstone,Honey,Gold Pea Seeds,Moonstone,Cutlass (3),Buddy doll (1),Piece 03 (1),,,,,,
,,,2,4,8,25,35,50,575,5000,5000,,,,,,
2026,Aug,5,Tea Leaves ,Steel Wire ,Orange juice ,Striped Feather ,Cabbage ,Gold Leaf ,Buddy's Old Pirate Belt,,,,,,,,
,,,5,7,12,12,50,200,7778,,,,,,,,
2026,Jul,29,Purple Flower,Orange,Bone Broth (500),Small Gear,Gold Sea Bass,Large Net,Caterpillar ,Sunflower,,,,,,,
,,,3,4,10,25,32,38,50,80,,,,,,,
2026,Jul,22,Aquamarine,Steel Wire,Green Dye,Herbs,Frog,Unicorn Shell (100),Twilight Squid (100),Sea Turtle (100),Lemon Cream Pie (50),,,,,,
,,,3,7,25,75,100,110,125,150,333,,,,,,
2026,Jul,15,Antler,Glass Bottle ,Prickly Pear,Milk,Apple Cider,Bacon,Mug of Beer (10),Borgen Bag 01 (1),Jar of Pickles,Lima Bean (333),,,,,
,,,2,5,10,15,45,75,150,200,500,3333,,,,,
2026,Jul,8,Leather,Lemonade ,Gold Pepper Seeds,Gold Catfish,Re'taw,Caterpillar ,Whistle ,,,,,,,,
,,,5,8,10,25,45,50,250,,,,,,,,
2026,Jul,1,Glass Orb,Apple,Fern Leaf,Horn,Corn,Wax Candle,Pie Pan,,,,,,,,
,,,1,2,4,15,25,75,200,,,,,,,,
2026,Jun,24,Twine,Fishing Net,Carbon Sphere,Emberstone,Cicada (45),Sea Turtle,Belt of Commander Uteer,,,,,,,,
,,,1,4,8,10,115,150,7777,,,,,,,,
2026,Jun,17,Salt Rock,Hops,Lemon,Small Spring,Striped Feather,Small Bolt,Arnold Palmer,Popcorn,Fish Flakes (1),Piece 03 (1),Honeycomb (1),,,,
,,,1,2,4,10,12,46,95,250,250,5000,6789,,,,
2026,Jun,10,Hide,Iced Tea,Orange,Bone Broth (500),Yarn,Red Dye,Small Bolt,Cicada (1),,,,,,,
,,,2,3,4,10,16,33,50,115,,,,,,,
2026,Jun,3,Prism Shard,Mushroom Paste,Orange Juice,Small Screw,Magna Quartz,Jar of Pickles,Owl Guard Belt,,,,,,,,
,,,2,5,12,50,250,500,7800,,,,,,,,
2026,May,13,Horn,3rd Birthday Card (3),Grapes,4th Birthday Card (4),Leather,Lemonade,Jade,Apple Cider,Unpolished Jade,Piñata Whop Stick,Red Velvet Cake (5),Lemon Cream Pie (55),Potted Flower,,
,,,1,3,4,16,5,8,10,45,50,55,55,333,444,,
2026,Feb,25,Twine,Horn,Amethyst,Jade,Bone Broth (500),Corn,Arnold Palmer,Borgen Bag 01 (1),,,,,,,
,,,1,1,4,10,10,25,100,200,,,,,,,
2026,Feb,18,Glass Orb,Antler,Aquamarine,Emberstone,Re'taw,Waffle,Piece 11 (2),Owl Guard Belt,,,,,,,
,,,1,2,3,10,15,64,7777,7800,,,,,,,
2026,Feb,11,Apple,Hops,Purple Flower,Prickly Pear,Small Gear,Spiked Shell,Grab Bag 07 (10),Lemon Cream Pie (33),,,,,,,
,,,2,2,3,10,25,50,100,333,,,,,,,
2026, Feb,4,Shimmer Quartz,Grapes,Fishing Net,Steel Wire,Lemonade,Small Spring,Orange Juice,Gold Carrot Seeds,Small Bolt,Frog,Orange Gecko,Jar of Pickles,Belt of Commander Uteer,,
,,,3,4,4,7,8,10,12,20,50,100,250,500,7777,,
2026,Jan,28,Shimmer Quartz,Grapes,Lemonade,Gold Carrot Seeds,Small Bolt,Frog,Orange Gecko,,,,,,,,
,,,3,4,8,20,50,100,250,,,,,,,,
2026,Jan,7,Salt Rock,Orange,Prickly Pear,Honey,Large Net,Jar of Pickles,Krampus Buddy Doll (1),,,,,,,,
,,,1,4,10,25,38,500,1000,,,,,,,,
2025,Dec,31,Glass Orb,Horn,Hide,Orange Ornament,Green Ornament,Yellow Ornament,Blue Ornament,Purple Ornament,Fishing Net,Oak,Yarn,Corn,Dancer,Buddy Doll (1),Buddy's Old Pirate Belt
,,,1,1,2,2,2,2,2,2,4,8,16,25,800,5000,7778
2025,Dec,24,Apple,Hops,Steel Wire,Re'taw,Snowball,Mistletoe,Arnold Palmer,Runestone,Borgen Bag 01 (1),Rudolph,Dancer,,,,
,,,2,2,7,15,25,50,100,200,200,375,800,,,,
2025,Dec,17,Shimmer Quartz,Leather,Orange Juice,Striped Feather,Re'taw,Snowball,Caterpillar,Rudolph,Runestone 11,Dancer,,,,,
,,,3,5,12,12,15,25,50,375,425,800,,,,,
2025,Dec,10,Board,Prism Shard,Lemon,Small Spring,Snowball,Pine Tree,Jar of Pickles,,,,,,,,
,,,1,2,4,10,25,40,500,,,,,,,,
2025,Dec,3,Antler,Glass Bottle,Red Berries,Lemonade,Hot Cocoa,Dragonfly,Lima Bean (333),,,,,,,,
,,,2,5,7,8,10,128,3333,,,,,,,,
2025,Nov,26,Apple,Iced Tea,Jade,Re'taw,Cooked Turkey,Jar of Pickles,,,,,,,,,
,,,2,3,10,15,125,500,,,,,,,,,
2025,Nov,19,Bird Egg,Aquamarine,Orange,Acorn,Milk,Arnold Palmer,,,,,,,,,
,,,1,3,4,5,15,100,,,,,,,,,
2025,Nov,12,Purple Flower,Mushroom Paste,Steel Wire,Gold Pepper Seeds,Grasshopper,Broken Pipe,Gold Feather,Popcorn,,,,,,,
,,,3,5,7,10,40,100,225,250,,,,,,,
2025,Nov,5,Sand,Leather,Prickly Pear,Orange Juice,Honey,Borgen Bag 01 (1),Corn Kabob,Jar of Pickles,,,,,,,
,,,3,5,10,12,25,200,250,500,,,,,,,
2025,Oct,29,Lemon Quartz,Lemonade,Treat Bag 01 (500),Treat Bag 02 (500),Treat Bag 03 (500),Gold Pea Seeds,Candy Corn,Wax Candle,Jack-o-lantern,Magna Quartz,,,,,
,,,3,8,15,15,15,25,40,75,125,250,,,,,
2025,Oct,22,Glass Orb,Hide,Iced Tea,Blue Feather,Corn,Waffle,Jar of Pickles,Cutlass (3),,,,,,,
,,,1,2,3,7,25,64,500,575,,,,,,,
2025,Oct,15,Apple,Shimmer Quartz,Yarn,Large Net,Caterpillar,Mug of Beer (10),Hockey Mask,,,,,,,,
,,,2,3,16,38,50,150,1000,,,,,,,,
2025,Oct,8,Lemon,Tea Leaves,Bone Broth (500),Treat Bag 01 (500),Treat Bag 02 (500),Treat Bag 03 (500),Small Great,Orange Gecko,Owl Guard Belt,,,,,,
,,,4,5,10,15,15,15,25,250,7800,,,,,,
2025,Oct,1,Horn,Fishing Net,Emberstone,Gold Carrot Seeds,Apple Cider,Small Bolt,Jar of Pickles,,,,,,,,
,,,1,4,10,20,45,50,500,,,,,,,,
2025,Sep,24,Salt Rock,Antler,Prism Shard,Orange Juice,Striped Feather,Bacon,Pie Pan,Lima Bean (333),,,,,,,
,,,1,2,2,12,12,75,200,3333,,,,,,,
2025,Sep,17,Aquamarine,Lemon Quartz,Shimmer Quartz,Amethyst,Unpolished Ruby,Magna Quartz,,,,,,,,,
,,,3,3,3,4,4,250,,,,,,,,,
2025,Sep,10,Mushroom,Hops,Orange,Honey,Green Dye,Herbs,,,,,,,,,
,,,1,2,4,25,40,75,,,,,,,,,
2025,Sep,3,Board,Grapes,Lemonade,Jade,Gold Eggplant Seeds,Frog,Jar of Pickles,,,,,,,,
,,,1,4,8,10,50,100,500,,,,,,,,
2025,Aug,27,Bird Egg,Leather,Eggs,Red Berries,Corn,Large Net,Apple Cider,Buddy's Old Pirate Belt,,,,,,,
,,,1,5,7,7,25,38,45,7778,,,,,,,
2025,Aug,20,Glass Orb,Tea Leaves,Milk,Gold Catfish,Caterpillar,Small Bolt,Arnold Palmer,Buddy Doll (1),,,,,,,
,,,1,5,15,25,50,50,100,5000,,,,,,,
2025,Aug,13,Ised Tea,orange Juice,Striped Feather,Red Dye,Wax Candle,Lemon Cream Pie (33),Lima Bean (333),,,,,,,,
,,,3,12,12,33,75,333,3333,,,,,,,,
